  0.00416667   0.03243779
  0.04583333   0.31531070
  0.08750000   0.53319207
  0.12916667   0.69890158
  0.17083333   0.82284384
  0.21250000   0.91341342
  0.25416667   0.97735800
  0.29583333   1.02009012
  0.33750000   1.04594769
  0.37916667   1.05840758
  0.42083333   1.06025870
  0.46250000   1.05374096
  0.50416667   1.04065625
  0.54583333   1.02245675
  0.58750000   1.00031501
  0.62916667   0.97517954
  0.67083333   0.94781893
  0.71250000   0.91885682
  0.75416667   0.88879973
  0.79583333   0.85805926
  0.83750000   0.82696979
  0.87916667   0.79580260
  0.92083333   0.76477735
  0.96250000   0.73407122
  1.00416667   0.70382639
  1.04583333   0.67415604
  1.08750000   0.64514934
  1.12916667   0.61687547
  1.17083333   0.58938699
  1.21250000   0.56272256
  1.25416667   0.53690925
  1.29583333   0.51196448
  1.33750000   0.48789757
  1.37916667   0.46471113
  1.42083333   0.44240217
  1.46250000   0.42096308
  1.50416667   0.40038243
  1.54583333   0.38064566
  1.58750000   0.36173570
  1.62916667   0.34363343
  1.67083333   0.32631815
  1.71250000   0.30976794
  1.75416667   0.29395993
  1.79583333   0.27887064
  1.83750000   0.26447615
  1.87916667   0.25075234
  1.92083333   0.23767501
  1.96250000   0.22522005
  2.00416667   0.21336356
  2.04583333   0.20208192
  2.08750000   0.19135192
  2.12916667   0.18115077
  2.17083333   0.17145620
  2.21250000   0.16224649
  2.25416667   0.15350049
  2.29583333   0.14519768
  2.33750000   0.13731816
  2.37916667   0.12984265
  2.42083333   0.12275255
  2.46250000   0.11602991
  2.50416667   0.10965743
  2.54583333   0.10361844
  2.58750000   0.09789693
  2.62916667   0.09247754
  2.67083333   0.08734550
  2.71250000   0.08248667
  2.75416667   0.07788750
  2.79583333   0.07353502
  2.83750000   0.06941683
  2.87916667   0.06552108
  2.92083333   0.06183645
  2.96250000   0.05835212
  3.00416667   0.05505779
  3.04583333   0.05194362
  3.08750000   0.04900025
  3.12916667   0.04621876
  3.17083333   0.04359064
  3.21250000   0.04110782
  3.25416667   0.03876260
  3.29583333   0.03654767
  3.33750000   0.03445607
  3.37916667   0.03248121
  3.42083333   0.03061680
  3.46250000   0.02885690
  3.50416667   0.02719585
  3.54583333   0.02562827
  3.58750000   0.02414910
  3.62916667   0.02275348
  3.67083333   0.02143686
  3.71250000   0.02019489
  3.75416667   0.01902346
  3.79583333   0.01791867
  3.83750000   0.01687685
  3.87916667   0.01589449
  3.92083333   0.01496829
  3.96250000   0.01409512
  4.00416667   0.01327202
  4.04583333   0.01249618
  4.08750000   0.01176495
  4.12916667   0.01107583
  4.17083333   0.01042645
  4.21250000   0.00981456
  4.25416667   0.00923804
  4.29583333   0.00869489
  4.33750000   0.00818321
  4.37916667   0.00770123
  4.42083333   0.00724724
  4.46250000   0.00681966
  4.50416667   0.00641696
  4.54583333   0.00603774
  4.58750000   0.00568065
  4.62916667   0.00534441
  4.67083333   0.00502783
  4.71250000   0.00472978
  4.75416667   0.00444919
  4.79583333   0.00418506
  4.83750000   0.00393642
  4.87916667   0.00370240
  4.92083333   0.00348213
  4.96250000   0.00327483
  5.00416667   0.00307974
  5.04583333   0.00289615
  5.08750000   0.00272340
  5.12916667   0.00256085
  5.17083333   0.00240790
  5.21250000   0.00226400
  5.25416667   0.00212862
  5.29583333   0.00200126
  5.33750000   0.00188145
  5.37916667   0.00176874
  5.42083333   0.00166273
  5.46250000   0.00156302
  5.50416667   0.00146923
  5.54583333   0.00138103
  5.58750000   0.00129807
  5.62916667   0.00122006
  5.67083333   0.00114670
  5.71250000   0.00107772
  5.75416667   0.00101285
  5.79583333   0.00095185
  5.83750000   0.00089451
  5.87916667   0.00084059
  5.92083333   0.00078990
  5.96250000   0.00074224
  6.00416667   0.00069744
  6.04583333   0.00065532
  6.08750000   0.00061573
  6.12916667   0.00057851
  6.17083333   0.00054353
  6.21250000   0.00051065
  6.25416667   0.00047974
  6.29583333   0.00045070
  6.33750000   0.00042340
  6.37916667   0.00039774
  6.42083333   0.00037363
  6.46250000   0.00035097
  6.50416667   0.00032968
  6.54583333   0.00030967
  6.58750000   0.00029087
  6.62916667   0.00027321
  6.67083333   0.00025661
  6.71250000   0.00024101
  6.75416667   0.00022636
  6.79583333   0.00021259
  6.83750000   0.00019965
  6.87916667   0.00018750
  6.92083333   0.00017608
  6.96250000   0.00016536
  7.00416667   0.00015528
  7.04583333   0.00014582
  7.08750000   0.00013693
  7.12916667   0.00012858
  7.17083333   0.00012073
  7.21250000   0.00011337
  7.25416667   0.00010645
  7.29583333   0.00009995
  7.33750000   0.00009384
  7.37916667   0.00008811
  7.42083333   0.00008272
  7.46250000   0.00007766
  7.50416667   0.00007292
  7.54583333   0.00006845
  7.58750000   0.00006427
  7.62916667   0.00006033
  7.67083333   0.00005664
  7.71250000   0.00005317
  7.75416667   0.00004991
  7.79583333   0.00004685
  7.83750000   0.00004398
  7.87916667   0.00004129
  7.92083333   0.00003875
  7.96250000   0.00003638
  8.00416667   0.00003415
  8.04583333   0.00003205
  8.08750000   0.00003008
  8.12916667   0.00002824
  8.17083333   0.00002650
  8.21250000   0.00002487
  8.25416667   0.00002335
  8.29583333   0.00002191
  8.33750000   0.00002056
  8.37916667   0.00001930
  8.42083333   0.00001811
  8.46250000   0.00001700
  8.50416667   0.00001595
  8.54583333   0.00001497
  8.58750000   0.00001405
  8.62916667   0.00001318
  8.67083333   0.00001237
  8.71250000   0.00001161
  8.75416667   0.00001089
  8.79583333   0.00001022
  8.83750000   0.00000959
  8.87916667   0.00000900
  8.92083333   0.00000845
  8.96250000   0.00000793
  9.00416667   0.00000744
  9.04583333   0.00000698
  9.08750000   0.00000655
  9.12916667   0.00000614
  9.17083333   0.00000576
  9.21250000   0.00000541
  9.25416667   0.00000507
  9.29583333   0.00000476
  9.33750000   0.00000447
  9.37916667   0.00000419
  9.42083333   0.00000393
  9.46250000   0.00000369
  9.50416667   0.00000346
  9.54583333   0.00000325
  9.58750000   0.00000305
  9.62916667   0.00000286
  9.67083333   0.00000268
  9.71250000   0.00000251
  9.75416667   0.00000236
  9.79583333   0.00000221
  9.83750000   0.00000208
  9.87916667   0.00000195
  9.92083333   0.00000183
  9.96250000   0.00000171
 10.00416667   0.00000161
 10.04583333   0.00000151
 10.08750000   0.00000141
 10.12916667   0.00000133
 10.17083333   0.00000124
 10.21250000   0.00000117
 10.25416667   0.00000109
 10.29583333   0.00000103
 10.33750000   0.00000096
 10.37916667   0.00000090
 10.42083333   0.00000085
 10.46250000   0.00000079
 10.50416667   0.00000075
 10.54583333   0.00000070
 10.58750000   0.00000066
 10.62916667   0.00000062
 10.67083333   0.00000058
 10.71250000   0.00000054
 10.75416667   0.00000051
 10.79583333   0.00000048
 10.83750000   0.00000045
 10.87916667   0.00000042
 10.92083333   0.00000039
 10.96250000   0.00000037
 11.00416667   0.00000035
 11.04583333   0.00000032
 11.08750000   0.00000030
 11.12916667   0.00000028
 11.17083333   0.00000027
 11.21250000   0.00000025
 11.25416667   0.00000023
 11.29583333   0.00000022
 11.33750000   0.00000021
 11.37916667   0.00000019
 11.42083333   0.00000018
 11.46250000   0.00000017
 11.50416667   0.00000016
 11.54583333   0.00000015
 11.58750000   0.00000014
 11.62916667   0.00000013
 11.67083333   0.00000012
 11.71250000   0.00000012
 11.75416667   0.00000011
 11.79583333   0.00000010
 11.83750000   0.00000010
 11.87916667   0.00000009
 11.92083333   0.00000008
 11.96250000   0.00000008
 12.00416667   0.00000007
 12.04583333   0.00000007
 12.08750000   0.00000006
 12.12916667   0.00000006
 12.17083333   0.00000006
 12.21250000   0.00000005
 12.25416667   0.00000005
 12.29583333   0.00000005
 12.33750000   0.00000004
 12.37916667   0.00000004
 12.42083333   0.00000004
 12.46250000   0.00000004
 12.50416667   0.00000003
 12.54583333   0.00000003
 12.58750000   0.00000003
 12.62916667   0.00000003
 12.67083333   0.00000003
 12.71250000   0.00000002
 12.75416667   0.00000002
 12.79583333   0.00000002
 12.83750000   0.00000002
 12.87916667   0.00000002
 12.92083333   0.00000002
 12.96250000   0.00000002
 13.00416667   0.00000002
 13.04583333   0.00000001
 13.08750000   0.00000001
 13.12916667   0.00000001
 13.17083333   0.00000001
 13.21250000   0.00000001
 13.25416667   0.00000001
 13.29583333   0.00000001
 13.33750000   0.00000001
 13.37916667   0.00000001
 13.42083333   0.00000001
 13.46250000   0.00000001
 13.50416667   0.00000001
 13.54583333   0.00000001
 13.58750000   0.00000001
 13.62916667   0.00000001
 13.67083333   0.00000001
 13.71250000   0.00000001
 13.75416667   0.00000000
 13.79583333   0.00000000
 13.83750000   0.00000000
 13.87916667   0.00000000
 13.92083333   0.00000000
 13.96250000   0.00000000
 14.00416667   0.00000000
 14.04583333   0.00000000
 14.08750000   0.00000000
 14.12916667   0.00000000
 14.17083333   0.00000000
 14.21250000   0.00000000
 14.25416667   0.00000000
 14.29583333   0.00000000
 14.33750000   0.00000000
 14.37916667   0.00000000
 14.42083333   0.00000000
 14.46250000   0.00000000
 14.50416667   0.00000000
 14.54583333   0.00000000
 14.58750000   0.00000000
 14.62916667   0.00000000
 14.67083333   0.00000000
 14.71250000   0.00000000
 14.75416667   0.00000000
 14.79583333   0.00000000
 14.83750000   0.00000000
