# estado  l  E(Ha)  E(eV)
2s  0  -1.7277241245172764E-01  -4.7013101152239605E+00
3s  0  -6.8115615320272091E-02  -1.8534940084799238E+00
4s  0  -2.6476410609463118E-02  -7.2044960909410083E-01
2p  1  -1.2612790667964058E-01  -3.4320664686596998E+00
3p  1  -5.5331391385852809E-02  -1.5056224910004408E+00
4p  1  -1.7004792145969446E-02  -4.6271739908397458E-01
3d  2  -5.5323964106508472E-02  -1.5054203873022018E+00
