# estado  l  E(Ha)  E(eV)
2s 0 -1.69159262094053e-01 -4.60305801792759e+00
3s 0 -6.74110071473148e-02 -1.83434695271664e+00
4s 0 -3.60396068853679e-02 -9.80687663111314e-01
2p 1 -1.26128045207520e-01 -3.43211895459327e+00
3p 1 -5.59434023464571e-02 -1.52229752916416e+00
