# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  1.58263619827194e+00  -2.26333161804412e-01  -1.18709921802306e-01  -7.49195045962976e-02   2.50255931526314e-01   1.41328219491279e-01
  1.63720641200546e+00  -2.44089308232436e-01  -1.27100293810162e-01  -8.00465844029679e-02   2.59539876842888e-01   1.46032375744923e-01
  1.69177662573897e+00  -2.61242089878948e-01  -1.35094994731481e-01  -8.49089500620748e-02   2.68643611815410e-01   1.50574143482004e-01
  1.74634683947249e+00  -2.77778287927693e-01  -1.42684226446169e-01  -8.95000059049766e-02   2.77556425074414e-01   1.54946011525516e-01
  1.80091705320600e+00  -2.93687932054744e-01  -1.49860136655162e-01  -9.38144444258926e-02   2.86268659786779e-01   1.59141192050175e-01
  1.85548726693952e+00  -3.08963980415429e-01  -1.56616656133562e-01  -9.78481444425044e-02   2.94771662745700e-01   1.63153590798095e-01
  1.91005748067303e+00  -3.23602029699577e-01  -1.62949349667299e-01  -1.01598077479194e-01   3.03057733814883e-01   1.66977777195512e-01
  1.96462769440655e+00  -3.37600051639953e-01  -1.68855279057896e-01  -1.05062221403350e-01   3.11120076112377e-01   1.70608954623020e-01
  2.01919790814006e+00  -3.50958152999008e-01  -1.74332876877182e-01  -1.08239480526381e-01   3.18952747234655e-01   1.74042931039776e-01
  2.07376812187358e+00  -3.63678356547688e-01  -1.79381829878105e-01  -1.11129611517393e-01   3.26550611749410e-01   1.77276090117895e-01
  2.12833833560709e+00  -3.75764400927909e-01  -1.84002971139348e-01  -1.13733154581209e-01   3.33909295125085e-01   1.80305363006108e-01
  2.18290854934061e+00  -3.87221557586859e-01  -1.88198180154433e-01  -1.16051369432640e-01   3.41025139215338e-01   1.83128200811028e-01
  2.23747876307412e+00  -3.98056463207621e-01  -1.91970290180866e-01  -1.18086175661800e-01   3.47895159376017e-01   1.85742547859239e-01
  2.29204897680764e+00  -4.08276966252112e-01  -1.95323002248851e-01  -1.19840097135524e-01   3.54517003259647e-01   1.88146815783138e-01
  2.34661919054116e+00  -4.17891986389915e-01  -1.98260805297646e-01  -1.21316210120725e-01   3.60888911306470e-01   1.90339858457166e-01
  2.40118940427467e+00  -4.26911385718302e-01  -2.00788901964361e-01  -1.22518094849278e-01   3.67009678930820e-01   1.92320947798246e-01
  2.45575961800819e+00  -4.35345850790478e-01  -2.02913139597843e-01  -1.23449790272284e-01   3.72878620385956e-01   1.94089750434162e-01
  2.51032983174170e+00  -4.43206784564953e-01  -2.04639946111121e-01  -1.24115751775735e-01   3.78495534278579e-01   1.95646305235845e-01
  2.56490004547522e+00  -4.50506207472323e-01  -2.05976270321195e-01  -1.24520811650377e-01   3.83860670695446e-01   1.96991001703597e-01
  2.61947025920873e+00  -4.57256666868801e-01  -2.06929526455884e-01  -1.24670142126792e-01   3.88974699898124e-01   1.98124559192835e-01
  2.67404047294225e+00  -4.63471154210495e-01  -2.07507542534661e-01  -1.24569220802698e-01   3.93838682537506e-01   1.99048006961703e-01
  2.72861068667576e+00  -4.69163029339951e-01  -2.07718512354694e-01  -1.24223798303728e-01   3.98454041336811e-01   1.99762665020542e-01
  2.78318090040928e+00  -4.74345951328042e-01  -2.07570950834962e-01  -1.23639868031633e-01   4.02822534190121e-01   2.00270125761633e-01
  2.83775111414279e+00  -4.79033815360600e-01  -2.07073652490851e-01  -1.22823637865320e-01   4.06946228622735e-01   2.00572236346623e-01
  2.89232132787631e+00  -4.83240695201062e-01  -2.06235652829223e-01  -1.21781503690388e-01   4.10827477559562e-01   2.00671081828440e-01
  2.94689154160982e+00  -4.86980790798303e-01  -2.05066192469927e-01  -1.20520024642218e-01   4.14468896348283e-01   2.00568968984282e-01
  3.00146175534334e+00  -4.90268380643242e-01  -2.03574683814209e-01  -1.19045899956093e-01   4.17873340984847e-01   2.00268410836288e-01
  3.05603196907685e+00  -4.93117778509140e-01  -2.01770680093678e-01  -1.17365947325567e-01   4.21043887490086e-01   1.99772111836676e-01
  3.11060218281037e+00  -4.95543294239086e-01  -1.99663846645549e-01  -1.15487082677307e-01   4.23983812387548e-01   1.99082953694514e-01
  3.16517239654388e+00  -4.97559198270216e-01  -1.97263934270884e-01  -1.13416301277085e-01   4.26696574234207e-01   1.98203981821719e-01
  3.21974261027740e+00  -4.99179689608112e-01  -1.94580754542636e-01  -1.11160660087438e-01   4.29185796157266e-01   1.97138392376403e-01
  3.27431282401091e+00  -5.00418866986644e-01  -1.91624156939571e-01  -1.08727261302927e-01   4.31455249351924e-01   1.95889519882247e-01
  3.32888303774443e+00  -5.01290702968555e-01  -1.88404007690612e-01  -1.06123236993853e-01   4.33508837496653e-01   1.94460825403183e-01
  3.38345325147794e+00  -5.01809020760489e-01  -1.84930170221969e-01  -1.03355734793852e-01   4.35350582044172e-01   1.92855885253278e-01
  3.43802346521146e+00  -5.01987473533038e-01  -1.81212487106614e-01  -1.00431904570928e-01   4.36984608347950e-01   1.91078380222318e-01
  3.49259367894498e+00  -5.01839526051918e-01  -1.77260763422289e-01  -9.73588860253989e-02   4.38415132585680e-01   1.89132085298228e-01
  3.54716389267849e+00  -5.01378438440727e-01  -1.73084751430339e-01  -9.41437971617139e-02   4.39646449442753e-01   1.87020859868048e-01
  3.60173410641201e+00  -5.00617251908855e-01  -1.68694136493340e-01  -9.07937235844530e-02   4.40682920520246e-01   1.84748638379810e-01
  3.65630432014552e+00  -4.99568776290328e-01  -1.64098524154704e-01  -8.73157085718043e-02   4.41528963433458e-01   1.82319421448216e-01
  3.71087453387904e+00  -4.98245579250554e-01  -1.59307428308306e-01  -8.37167438826605e-02   4.42189041568441e-01   1.79737267387626e-01
  3.76544474761255e+00  -4.96659977028317e-01  -1.54330260390658e-01  -8.00037612560754e-02   4.42667654465323e-01   1.77006284156382e-01
