# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  9.45158278642415E-01  -1.05802384912330E+00  -1.11755173896808E+00
  9.52658741171323E-01  -1.04969382716257E+00  -1.10686690759652E+00
  9.60159203700231E-01  -1.04149394823924E+00  -1.09640707233597E+00
  9.67659666229139E-01  -1.03342118608383E+00  -1.08616528743955E+00
  9.75160128758047E-01  -1.02547260753328E+00  -1.07613486815834E+00
  9.82660591286955E-01  -1.01764536897764E+00  -1.06630937962755E+00
  9.90161053815864E-01  -1.00993671296828E+00  -1.05668262627832E+00
  9.97661516344772E-01  -1.00234396497902E+00  -1.04724864174753E+00
  1.00516197887368E+00  -9.94864530312354E-01  -1.03800167925973E+00
  1.01266244140259E+00  -9.87495891143104E-01  -1.02893620245660E+00
  1.02016290393150E+00  -9.80235603692516E-01  -1.02004687665099E+00
  1.02766336646040E+00  -9.73081295526097E-01  -1.01132856048363E+00
  1.03516382898931E+00  -9.66030662968929E-01  -1.00277629796223E+00
  1.04266429151822E+00  -9.59081468632539E-01  -9.94385310863395E-01
  1.05016475404713E+00  -9.52231539047751E-01  -9.86150991479292E-01
  1.05766521657604E+00  -9.45478762398262E-01  -9.78068895691653E-01
  1.06516567910494E+00  -9.38821086349963E-01  -9.70134736356951E-01
  1.07266614163385E+00  -9.32256515971345E-01  -9.62344376987303E-01
  1.08016660416276E+00  -9.25783111740529E-01  -9.54693825712546E-01
  1.08766706669167E+00  -9.19398987634770E-01  -9.47179229509760E-01
  1.09516752922058E+00  -9.13102309298463E-01  -9.39796868687174E-01
  1.10266799174948E+00  -9.06891292285911E-01  -9.32543151610191E-01
  1.11016845427839E+00  -9.00764200375337E-01  -9.25414609657821E-01
  1.11766891680730E+00  -8.94719343950774E-01  -9.18407892398519E-01
  1.12516937933621E+00  -8.88755078448676E-01  -9.11519762974942E-01
  1.13266984186512E+00  -8.82869802866248E-01  -9.04747093687726E-01
  1.14017030439402E+00  -8.77061958328653E-01  -8.98086861768882E-01
