# estado  l  E_calc(Ha)        E_calc(eV)           E_exp(Ha)         E_exp(eV)           E_H(Ha)           E_H(eV)
2s  0  -1.726977531317E-01  -4.699400000000E+00  -1.980788465267E-01  -5.390000000000E+00  -1.249874430920E-01  -3.401000000000E+00
3s  0  -6.808658001985E-02  -1.852700000000E+00  -7.423363079482E-02  -2.020000000000E+00  -5.556497593357E-02  -1.512000000000E+00
4s  0  -2.646310102592E-02  -7.201000000000E-01  -3.858678828444E-02  -1.050000000000E+00  -3.123692384930E-02  -8.500000000000E-01
2p  1  -1.260739804119E-01  -3.430600000000E+00  -1.300926005018E-01  -3.540000000000E+00  -1.249874430920E-01  -3.401000000000E+00
3p  1  -5.530853398674E-02  -1.505000000000E+00  -5.732894259402E-02  -1.560000000000E+00  -5.556497593357E-02  -1.512000000000E+00
3d  2  -5.530118366582E-02  -1.504800000000E+00  -5.549147648314E-02  -1.510000000000E+00  -5.556497593357E-02  -1.512000000000E+00
