# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p  R_3d
  1.27607862991437E-01   1.52034988044172E-01   7.49784290314570E-02   4.65525999544030E-02   5.03282873728147E-03   2.98389234540709E-03   2.52327170287802E-05
  1.35108325520345E-01   1.56989044395843E-01   7.74143569296418E-02   4.80636614261987E-02   5.55433125136658E-03   3.29298147725937E-03   2.94943105648883E-05
  1.42608788049253E-01   1.61658499261728E-01   7.97089981444059E-02   4.94868264600113E-02   6.09650396220921E-03   3.61429929259345E-03   3.41922384706646E-05
  1.50109250578161E-01   1.66053528571720E-01   8.18673561488027E-02   5.08251988372665E-02   6.65877441241003E-03   3.94750347187682E-03   3.93445354606446E-05
  1.57609713107069E-01   1.70183934740143E-01   8.38942517631946E-02   5.20817692274189E-02   7.24059309393211E-03   4.29226520837596E-03   4.49688907721543E-05
  1.65110175635977E-01   1.74059159458566E-01   8.57943293875685E-02   5.32594190431369E-02   7.84143245548281E-03   4.64826862256232E-03   5.10826638451761E-05
  1.72610638164885E-01   1.77688296199901E-01   8.75720630955675E-02   5.43609242103969E-02   8.46078594450954E-03   5.01521019689056E-03   5.77028991532987E-05
  1.80111100693793E-01   1.81080102423826E-01   8.92317625851350E-02   5.53889588502765E-02   9.09816708336310E-03   5.39279823069417E-03   6.48463402190522E-05
  1.87611563222701E-01   1.84243011475917E-01   9.07775789818075E-02   5.63460988699530E-02   9.75310857910182E-03   5.78075231489534E-03   7.25294428466015E-05
  1.95112025751609E-01   1.87185144174906E-01   9.22135104917191E-02   5.72348254610445E-02   1.04251614663411E-02   6.17880282618479E-03   8.07683876043373E-05
  2.02612488280518E-01   1.89914320084322E-01   9.35434079022854E-02   5.80575285040002E-02   1.11138942824958E-02   6.58669044029276E-03   8.95790915893685E-05
  2.10112950809426E-01   1.92438068466381E-01   9.47709799293382E-02   5.88165098777429E-02   1.18188922747142E-02   7.00416566394338E-03   9.89772195053064E-05
