# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p  R_3d
  2.53591638102381E+01  -3.99882057479239E-05   2.37347356321704E-02  -2.19602790623539E-01   3.80252058940219E-04  -5.18478325451674E-02   3.13090889563357E-02
  2.53666642727670E+01  -3.98298513374119E-05   2.36892143971452E-02  -2.19474827379529E-01   3.79045312301400E-04  -5.17683045322633E-02   3.12586234094072E-02
  2.53741647352960E+01  -3.96721179273434E-05   2.36437735950395E-02  -2.19346801760002E-01   3.77842329670875E-04  -5.16888818396455E-02   3.12082310250148E-02
  2.53816651978249E+01  -3.95150031104254E-05   2.35984131025460E-02  -2.19218714088746E-01   3.76643099558799E-04  -5.16095643681205E-02   3.11579117164353E-02
  2.53891656603538E+01  -3.93585044885673E-05   2.35531327964928E-02  -2.19090564689060E-01   3.75447610509442E-04  -5.15303520184821E-02   3.11076653969998E-02
  2.53966661228827E+01  -3.92026196728463E-05   2.35079325538437E-02  -2.18962353883756E-01   3.74255851101085E-04  -5.14512446915119E-02   3.10574919800946E-02
  2.54041665854116E+01  -3.90473462834728E-05   2.34628122516981E-02  -2.18834081995161E-01   3.73067809945926E-04  -5.13722422879794E-02   3.10073913791609E-02
  2.54116670479405E+01  -3.88926819497563E-05   2.34177717672909E-02  -2.18705749345110E-01   3.71883475689984E-04  -5.12933447086428E-02   3.09573635076950E-02
  2.54191675104694E+01  -3.87386243100712E-05   2.33728109779926E-02  -2.18577356254954E-01   3.70702837012999E-04  -5.12145518542492E-02   3.09074082792483E-02
  2.54266679729983E+01  -3.85851710118226E-05   2.33279297613093E-02  -2.18448903045556E-01   3.69525882628337E-04  -5.11358636255346E-02   3.08575256074276E-02
  2.54341684355272E+01  -3.84323197114124E-05   2.32831279948829E-02  -2.18320390037292E-01   3.68352601282896E-04  -5.10572799232248E-02   3.08077154058951E-02
  2.54416688980561E+01  -3.82800680742056E-05   2.32384055564908E-02  -2.18191817550052E-01   3.67182981757006E-04  -5.09788006480354E-02   3.07579775883685E-02
  2.54491693605850E+01  -3.81284137744964E-05   2.31937623240461E-02  -2.18063185903236E-01   3.66017012864338E-04  -5.09004257006726E-02   3.07083120686210E-02
  2.54566698231139E+01  -3.79773544954747E-05   2.31491981755977E-02  -2.17934495415761E-01   3.64854683451802E-04  -5.08221549818328E-02   3.06587187604815E-02
  2.54641702856429E+01  -3.78268879291926E-05   2.31047129893300E-02  -2.17805746406056E-01   3.63695982399458E-04  -5.07439883922038E-02   3.06091975778347E-02
  2.54716707481718E+01  -3.76770117765315E-05   2.30603066435633E-02  -2.17676939192063E-01   3.62540898620420E-04  -5.06659258324645E-02   3.05597484346214E-02
  2.54791712107007E+01  -3.75277237471681E-05   2.30159790167534E-02  -2.17548074091239E-01   3.61389421060758E-04  -5.05879672032859E-02   3.05103712448381E-02
  2.54866716732296E+01  -3.73790215595420E-05   2.29717299874921E-02  -2.17419151420554E-01   3.60241538699406E-04  -5.05101124053307E-02   3.04610659225375E-02
  2.54941721357585E+01  -3.72309029408226E-05   2.29275594345066E-02  -2.17290171496493E-01   3.59097240548067E-04  -5.04323613392543E-02   3.04118323818284E-02
  2.55016725982874E+01  -3.70833656268758E-05   2.28834672366601E-02  -2.17161134635053E-01   3.57956515651122E-04  -5.03547139057047E-02   3.03626705368761E-02
  2.55091730608163E+01  -3.69364073622321E-05   2.28394532729514E-02  -2.17032041151748E-01   3.56819353085531E-04  -5.02771700053234E-02   3.03135803019019E-02
  2.55166735233452E+01  -3.67900259000533E-05   2.27955174225153E-02  -2.16902891361604E-01   3.55685741960745E-04  -5.01997295387451E-02   3.02645615911839E-02
  2.55241739858741E+01  -3.66442190021002E-05   2.27516595646220E-02  -2.16773685579163E-01   3.54555671418608E-04  -5.01223924065985E-02   3.02156143190567E-02
  2.55316744484030E+01  -3.64989844387005E-05   2.27078795786778E-02  -2.16644424118481E-01   3.53429130633268E-04  -5.00451585095064E-02   3.01667383999112E-02
  2.55391749109319E+01  -3.63543199887163E-05   2.26641773442246E-02  -2.16515107293130E-01   3.52306108811084E-04  -4.99680277480864E-02   3.01179337481956E-02
  2.55466753734608E+01  -3.62102234395121E-05   2.26205527409401E-02  -2.16385735416195E-01   3.51186595190529E-04  -4.98910000229507E-02   3.00692002784145E-02
  2.55541758359897E+01  -3.60666925869227E-05   2.25770056486378E-02  -2.16256308800278E-01   3.50070579042106E-04  -4.98140752347071E-02   3.00205379051296E-02
  2.55616762985187E+01  -3.59237252352214E-05   2.25335359472671E-02  -2.16126827757496E-01   3.48958049668247E-04  -4.97372532839587E-02   2.99719465429597E-02
  2.55691767610476E+01  -3.57813191970883E-05   2.24901435169129E-02  -2.15997292599479E-01   3.47848996403229E-04  -4.96605340713047E-02   2.99234261065805E-02
  2.55766772235765E+01  -3.56394722935783E-05   2.24468282377963E-02  -2.15867703637377E-01   3.46743408613077E-04  -4.95839174973406E-02   2.98749765107250E-02
  2.55841776861054E+01  -3.54981823540901E-05   2.24035899902739E-02  -2.15738061181850E-01   3.45641275695479E-04  -4.95074034626586E-02   2.98265976701837E-02
  2.55916781486343E+01  -3.53574472163345E-05   2.23604286548382E-02  -2.15608365543080E-01   3.44542587079687E-04  -4.94309918678476E-02   2.97782894998041E-02
  2.55991786111632E+01  -3.52172647263029E-05   2.23173441121174E-02  -2.15478617030761E-01   3.43447332226434E-04  -4.93546826134942E-02   2.97300519144914E-02
  2.56066790736921E+01  -3.50776327382367E-05   2.22743362428757E-02  -2.15348815954104E-01   3.42355500627840E-04  -4.92784756001824E-02   2.96818848292083E-02
  2.56141795362210E+01  -3.49385491145954E-05   2.22314049280128E-02  -2.15218962621837E-01   3.41267081807320E-04  -4.92023707284942E-02   2.96337881589753E-02
  2.56216799987499E+01  -3.48000117260265E-05   2.21885500485646E-02  -2.15089057342204E-01   3.40182065319500E-04  -4.91263678990101E-02   2.95857618188703E-02
  2.56291804612788E+01  -3.46620184513340E-05   2.21457714857024E-02  -2.14959100422965E-01   3.39100440750121E-04  -4.90504670123091E-02   2.95378057240295E-02
  2.56366809238077E+01  -3.45245671774481E-05   2.21030691207334E-02  -2.14829092171399E-01   3.38022197715954E-04  -4.89746679689693E-02   2.94899197896464E-02
  2.56441813863366E+01  -3.43876557993945E-05   2.20604428351008E-02  -2.14699032894299E-01   3.36947325864707E-04  -4.88989706695682E-02   2.94421039309731E-02
  2.56516818488656E+01  -3.42512822202635E-05   2.20178925103834E-02  -2.14568922897978E-01   3.35875814874940E-04  -4.88233750146828E-02   2.93943580633195E-02
  2.56591823113945E+01  -3.41154443511802E-05   2.19754180282957E-02  -2.14438762488264E-01   3.34807654455975E-04  -4.87478809048902E-02   2.93466821020535E-02
  2.56666827739234E+01  -3.39801401112740E-05   2.19330192706881E-02  -2.14308551970504E-01   3.33742834347806E-04  -4.86724882407679E-02   2.92990759626015E-02
  2.56741832364523E+01  -3.38453674276481E-05   2.18906961195467E-02  -2.14178291649562E-01   3.32681344321013E-04  -4.85971969228939E-02   2.92515395604483E-02
  2.56816836989812E+01  -3.37111242353502E-05   2.18484484569935E-02  -2.14047981829821E-01   3.31623174176671E-04  -4.85220068518474E-02   2.92040728111369E-02
  2.56891841615101E+01  -3.35774084773416E-05   2.18062761652861E-02  -2.13917622815179E-01   3.30568313746266E-04  -4.84469179282088E-02   2.91566756302688E-02
  2.56966846240390E+01  -3.34442181044681E-05   2.17641791268179E-02  -2.13787214909055E-01   3.29516752891607E-04  -4.83719300525601E-02   2.91093479335044E-02
  2.57041850865679E+01  -3.33115510754303E-05   2.17221572241180E-02  -2.13656758414386E-01   3.28468481504734E-04  -4.82970431254853E-02   2.90620896365623E-02
  2.57116855490968E+01  -3.31794053567532E-05   2.16802103398513E-02  -2.13526253633627E-01   3.27423489507837E-04  -4.82222570475709E-02   2.90149006552203E-02
  2.57191860116257E+01  -3.30477789227577E-05   2.16383383568183E-02  -2.13395700868750E-01   3.26381766853168E-04  -4.81475717194058E-02   2.89677809053147E-02
  2.57266864741546E+01  -3.29166697555306E-05   2.15965411579554E-02  -2.13265100421249E-01   3.25343303522950E-04  -4.80729870415818E-02   2.89207303027409E-02
  2.57341869366835E+01  -3.27860758448952E-05   2.15548186263346E-02  -2.13134452592135E-01   3.24308089529296E-04  -4.79985029146941E-02   2.88737487634533E-02
  2.57416873992124E+01  -3.26559951883828E-05   2.15131706451635E-02  -2.13003757681939E-01   3.23276114914122E-04  -4.79241192393416E-02   2.88268362034652E-02
  2.57491878617414E+01  -3.25264257912029E-05   2.14715970977854E-02  -2.12873015990711E-01   3.22247369749057E-04  -4.78498359161267E-02   2.87799925388493E-02
  2.57566883242703E+01  -3.23973656662146E-05   2.14300978676794E-02  -2.12742227818021E-01   3.21221844135365E-04  -4.77756528456565E-02   2.87332176857373E-02
  2.57641887867992E+01  -3.22688128338979E-05   2.13886728384602E-02  -2.12611393462958E-01   3.20199528203850E-04  -4.77015699285423E-02   2.86865115603204E-02
  2.57716892493281E+01  -3.21407653223244E-05   2.13473218938780E-02  -2.12480513224132E-01   3.19180412114781E-04  -4.76275870654004E-02   2.86398740788490E-02
  2.57791897118570E+01  -3.20132211671293E-05   2.13060449178188E-02  -2.12349587399673E-01   3.18164486057800E-04  -4.75537041568522E-02   2.85933051576332E-02
  2.57866901743859E+01  -3.18861784114824E-05   2.12648417943040E-02  -2.12218616287230E-01   3.17151740251839E-04  -4.74799211035248E-02   2.85468047130424E-02
  2.57941906369148E+01  -3.17596351060599E-05   2.12237124074909E-02  -2.12087600183974E-01   3.16142164945037E-04  -4.74062378060507E-02   2.85003726615059E-02
  2.58016910994437E+01  -3.16335893090160E-05   2.11826566416721E-02  -2.11956539386596E-01   3.15135750414656E-04  -4.73326541650689E-02   2.84540089195125E-02
  2.58091915619726E+01  -3.15080390859546E-05   2.11416743812758E-02  -2.11825434191309E-01   3.14132486966995E-04  -4.72591700812245E-02   2.84077134036108E-02
  2.58166920245015E+01  -3.13829825099014E-05   2.11007655108659E-02  -2.11694284893846E-01   3.13132364937308E-04  -4.71857854551697E-02   2.83614860304092E-02
  2.58241924870304E+01  -3.12584176612758E-05   2.10599299151417E-02  -2.11563091789461E-01   3.12135374689718E-04  -4.71125001875633E-02   2.83153267165762E-02
  2.58316929495593E+01  -3.11343426278627E-05   2.10191674789380E-02  -2.11431855172930E-01   3.11141506617137E-04  -4.70393141790718E-02   2.82692353788402E-02
  2.58391934120883E+01  -3.10107555047852E-05   2.09784780872251E-02  -2.11300575338552E-01   3.10150751141184E-04  -4.69662273303692E-02   2.82232119339897E-02
  2.58466938746172E+01  -3.08876543944764E-05   2.09378616251089E-02  -2.11169252580146E-01   3.09163098712095E-04  -4.68932395421374E-02   2.81772562988733E-02
  2.58541943371461E+01  -3.07650374066524E-05   2.08973179778305E-02  -2.11037887191053E-01   3.08178539808649E-04  -4.68203507150668E-02   2.81313683903998E-02
  2.58616947996750E+01  -3.06429026582841E-05   2.08568470307667E-02  -2.10906479464138E-01   3.07197064938080E-04  -4.67475607498562E-02   2.80855481255384E-02
  2.58691952622039E+01  -3.05212482735703E-05   2.08164486694295E-02  -2.10775029691788E-01   3.06218664635997E-04  -4.66748695472131E-02   2.80397954213187E-02
  2.58766957247328E+01  -3.04000723839101E-05   2.07761227794664E-02  -2.10643538165911E-01   3.05243329466303E-04  -4.66022770078546E-02   2.79941101948305E-02
  2.58841961872617E+01  -3.02793731278762E-05   2.07358692466602E-02  -2.10512005177940E-01   3.04271050021111E-04  -4.65297830325068E-02   2.79484923632244E-02
  2.58916966497906E+01  -3.01591486511870E-05   2.06956879569291E-02  -2.10380431018830E-01   3.03301816920663E-04  -4.64573875219060E-02   2.79029418437114E-02
  2.58991971123195E+01  -3.00393971066805E-05   2.06555787963266E-02  -2.10248815979060E-01   3.02335620813252E-04  -4.63850903767982E-02   2.78574585535633E-02
  2.59066975748484E+01  -2.99201166542867E-05   2.06155416510415E-02  -2.10117160348632E-01   3.01372452375136E-04  -4.63128914979401E-02   2.78120424101123E-02
  2.59141980373773E+01  -2.98013054610011E-05   2.05755764073978E-02  -2.09985464417072E-01   3.00412302310461E-04  -4.62407907860988E-02   2.77666933307519E-02
  2.59216984999062E+01  -2.96829617008581E-05   2.05356829518549E-02  -2.09853728473431E-01   2.99455161351179E-04  -4.61687881420525E-02   2.77214112329361E-02
  2.59291989624352E+01  -2.95650835549042E-05   2.04958611710072E-02  -2.09721952806281E-01   2.98501020256968E-04  -4.60968834665905E-02   2.76761960341799E-02
  2.59366994249641E+01  -2.94476692111717E-05   2.04561109515846E-02  -2.09590137703722E-01   2.97549869815151E-04  -4.60250766605140E-02   2.76310476520593E-02
  2.59441998874930E+01  -2.93307168646520E-05   2.04164321804519E-02  -2.09458283453376E-01   2.96601700840617E-04  -4.59533676246356E-02   2.75859660042114E-02
  2.59517003500219E+01  -2.92142247172697E-05   2.03768247446092E-02  -2.09326390342392E-01   2.95656504175741E-04  -4.58817562597804E-02   2.75409510083346E-02
  2.59592008125508E+01  -2.90981909778561E-05   2.03372885311916E-02  -2.09194458657443E-01   2.94714270690307E-04  -4.58102424667856E-02   2.74960025821881E-02
  2.59667012750797E+01  -2.89826138621231E-05   2.02978234274695E-02  -2.09062488684726E-01   2.93774991281422E-04  -4.57388261465015E-02   2.74511206435928E-02
  2.59742017376086E+01  -2.88674915926373E-05   2.02584293208479E-02  -2.08930480709966E-01   2.92838656873445E-04  -4.56675071997910E-02   2.74063051104306E-02
  2.59817022001375E+01  -2.87528223987943E-05   2.02191060988675E-02  -2.08798435018412E-01   2.91905258417905E-04  -4.55962855275306E-02   2.73615559006451E-02
  2.59892026626664E+01  -2.86386045167922E-05   2.01798536492034E-02  -2.08666351894839E-01   2.90974786893418E-04  -4.55251610306101E-02   2.73168729322411E-02
  2.59967031251953E+01  -2.85248361896067E-05   2.01406718596660E-02  -2.08534231623548E-01   2.90047233305617E-04  -4.54541336099335E-02   2.72722561232851E-02
  2.60042035877242E+01  -2.84115156669649E-05   2.01015606182006E-02  -2.08402074488369E-01   2.89122588687068E-04  -4.53832031664185E-02   2.72277053919052E-02
  2.60117040502531E+01  -2.82986412053199E-05   2.00625198128873E-02  -2.08269880772654E-01   2.88200844097193E-04  -4.53123696009978E-02   2.71832206562910E-02
  2.60192045127820E+01  -2.81862110678256E-05   2.00235493319412E-02  -2.08137650759285E-01   2.87281990622193E-04  -4.52416328146183E-02   2.71388018346941E-02
  2.60267049753110E+01  -2.80742235243111E-05   1.99846490637123E-02  -2.08005384730672E-01   2.86366019374972E-04  -4.51709927082421E-02   2.70944488454277E-02
  2.60342054378399E+01  -2.79626768512555E-05   1.99458188966851E-02  -2.07873082968748E-01   2.85452921495055E-04  -4.51004491828466E-02   2.70501616068668E-02
  2.60417059003688E+01  -2.78515693317626E-05   1.99070587194793E-02  -2.07740745754978E-01   2.84542688148517E-04  -4.50300021394249E-02   2.70059400374485E-02
  2.60492063628977E+01  -2.77408992555364E-05   1.98683684208490E-02  -2.07608373370353E-01   2.83635310527902E-04  -4.49596514789855E-02   2.69617840556718E-02
  2.60567068254266E+01  -2.76306649188554E-05   1.98297478896833E-02  -2.07475966095390E-01   2.82730779852147E-04  -4.48893971025535E-02   2.69176935800977E-02
  2.60642072879555E+01  -2.75208646245481E-05   1.97911970150058E-02  -2.07343524210138E-01   2.81829087366507E-04  -4.48192389111700E-02   2.68736685293493E-02
  2.60717077504844E+01  -2.74114966819684E-05   1.97527156859748E-02  -2.07211047994173E-01   2.80930224342477E-04  -4.47491768058931E-02   2.68297088221119E-02
  2.60792082130133E+01  -2.73025594069705E-05   1.97143037918832E-02  -2.07078537726597E-01   2.80034182077716E-04  -4.46792106877976E-02   2.67858143771331E-02
  2.60867086755422E+01  -2.71940511218845E-05   1.96759612221585E-02  -2.06945993686045E-01   2.79140951895975E-04  -4.46093404579755E-02   2.67419851132226E-02
  2.60942091380711E+01  -2.70859701554918E-05   1.96376878663627E-02  -2.06813416150679E-01   2.78250525147016E-04  -4.45395660175366E-02   2.66982209492526E-02
  2.61017096006000E+01  -2.69783148430009E-05   1.95994836141924E-02  -2.06680805398190E-01   2.77362893206539E-04  -4.44698872676080E-02   2.66545218041577E-02
  2.61092100631289E+01  -2.68710835260230E-05   1.95613483554786E-02  -2.06548161705801E-01   2.76478047476107E-04  -4.44003041093353E-02   2.66108875969348E-02
  2.61167105256579E+01  -2.67642745525473E-05   1.95232819801866E-02  -2.06415485350262E-01   2.75595979383072E-04  -4.43308164438821E-02   2.65673182466435E-02
  2.61242109881868E+01  -2.66578862769176E-05   1.94852843784164E-02  -2.06282776607854E-01   2.74716680380498E-04  -4.42614241724306E-02   2.65238136724060E-02
  2.61317114507157E+01  -2.65519170598078E-05   1.94473554404020E-02  -2.06150035754391E-01   2.73840141947086E-04  -4.41921271961819E-02   2.64803737934069E-02
  2.61392119132446E+01  -2.64463652681980E-05   1.94094950565119E-02  -2.06017263065214E-01   2.72966355587105E-04  -4.41229254163563E-02   2.64369985288937E-02
  2.61467123757735E+01  -2.63412292753505E-05   1.93717031172489E-02  -2.05884458815197E-01   2.72095312830311E-04  -4.40538187341933E-02   2.63936877981767E-02
  2.61542128383024E+01  -2.62365074607864E-05   1.93339795132501E-02  -2.05751623278743E-01   2.71227005231876E-04  -4.39848070509522E-02   2.63504415206287E-02
  2.61617133008313E+01  -2.61321982102613E-05   1.92963241352865E-02  -2.05618756729790E-01   2.70361424372316E-04  -4.39158902679120E-02   2.63072596156857E-02
  2.61692137633602E+01  -2.60282999157424E-05   1.92587368742635E-02  -2.05485859441804E-01   2.69498561857414E-04  -4.38470682863721E-02   2.62641420028465E-02
  2.61767142258891E+01  -2.59248109753843E-05   1.92212176212206E-02  -2.05352931687785E-01   2.68638409318151E-04  -4.37783410076521E-02   2.62210886016728E-02
  2.61842146884180E+01  -2.58217297935060E-05   1.91837662673312E-02  -2.05219973740264E-01   2.67780958410627E-04  -4.37097083330926E-02   2.61780993317894E-02
  2.61917151509469E+01  -2.57190547805672E-05   1.91463827039030E-02  -2.05086985871306E-01   2.66926200815994E-04  -4.36411701640549E-02   2.61351741128842E-02
  2.61992156134758E+01  -2.56167843531456E-05   1.91090668223773E-02  -2.04953968352507E-01   2.66074128240378E-04  -4.35727264019216E-02   2.60923128647082E-02
  2.62067160760047E+01  -2.55149169339131E-05   1.90718185143298E-02  -2.04820921454995E-01   2.65224732414813E-04  -4.35043769480968E-02   2.60495155070756E-02
  2.62142165385337E+01  -2.54134509516129E-05   1.90346376714696E-02  -2.04687845449435E-01   2.64378005095162E-04  -4.34361217040062E-02   2.60067819598638E-02
  2.62217170010626E+01  -2.53123848410368E-05   1.89975241856401E-02  -2.04554740606021E-01   2.63533938062047E-04  -4.33679605710976E-02   2.59641121430137E-02
  2.62292174635915E+01  -2.52117170430018E-05   1.89604779488183E-02  -2.04421607194484E-01   2.62692523120780E-04  -4.32998934508411E-02   2.59215059765292E-02
  2.62367179261204E+01  -2.51114460043276E-05   1.89234988531149E-02  -2.04288445484086E-01   2.61853752101289E-04  -4.32319202447293E-02   2.58789633804780E-02
  2.62442183886493E+01  -2.50115701778138E-05   1.88865867907745E-02  -2.04155255743627E-01   2.61017616858043E-04  -4.31640408542774E-02   2.58364842749909E-02
  2.62517188511782E+01  -2.49120880222170E-05   1.88497416541752E-02  -2.04022038241437E-01   2.60184109269989E-04  -4.30962551810237E-02   2.57940685802624E-02
  2.62592193137071E+01  -2.48129980022286E-05   1.88129633358287E-02  -2.03888793245384E-01   2.59353221240473E-04  -4.30285631265298E-02   2.57517162165505E-02
  2.62667197762360E+01  -2.47142985884519E-05   1.87762517283806E-02  -2.03755521022870E-01   2.58524944697173E-04  -4.29609645923807E-02   2.57094271041770E-02
  2.62742202387649E+01  -2.46159882573801E-05   1.87396067246097E-02  -2.03622221840831E-01   2.57699271592027E-04  -4.28934594801854E-02   2.56672011635270E-02
  2.62817207012938E+01  -2.45180654913735E-05   1.87030282174283E-02  -2.03488895965741E-01   2.56876193901163E-04  -4.28260476915766E-02   2.56250383150495E-02
  2.62892211638227E+01  -2.44205287786375E-05   1.86665160998824E-02  -2.03355543663609E-01   2.56055703624830E-04  -4.27587291282116E-02   2.55829384792574E-02
  2.62967216263516E+01  -2.43233766132008E-05   1.86300702651511E-02  -2.03222165199977E-01   2.55237792787324E-04  -4.26915036917720E-02   2.55409015767272E-02
  2.63042220888806E+01  -2.42266074948924E-05   1.85936906065469E-02  -2.03088760839928E-01   2.54422453436921E-04  -4.26243712839641E-02   2.54989275280992E-02
  2.63117225514095E+01  -2.41302199293206E-05   1.85573770175158E-02  -2.02955330848078E-01   2.53609677645809E-04  -4.25573318065194E-02   2.54570162540779E-02
  2.63192230139384E+01  -2.40342124278504E-05   1.85211293916367E-02  -2.02821875488582E-01   2.52799457510012E-04  -4.24903851611946E-02   2.54151676754315E-02
  2.63267234764673E+01  -2.39385835075819E-05   1.84849476226220E-02  -2.02688395025131E-01   2.51991785149329E-04  -4.24235312497717E-02   2.53733817129923E-02
  2.63342239389962E+01  -2.38433316913285E-05   1.84488316043170E-02  -2.02554889720954E-01   2.51186652707257E-04  -4.23567699740588E-02   2.53316582876566E-02
  2.63417244015251E+01  -2.37484555075954E-05   1.84127812307003E-02  -2.02421359838817E-01   2.50384052350927E-04  -4.22901012358898E-02   2.52899973203848E-02
  2.63492248640540E+01  -2.36539534905576E-05   1.83767963958833E-02  -2.02287805641025E-01   2.49583976271034E-04  -4.22235249371247E-02   2.52483987322014E-02
  2.63567253265829E+01  -2.35598241800389E-05   1.83408769941107E-02  -2.02154227389420E-01   2.48786416681769E-04  -4.21570409796501E-02   2.52068624441953E-02
  2.63642257891118E+01  -2.34660661214901E-05   1.83050229197598E-02  -2.02020625345383E-01   2.47991365820748E-04  -4.20906492653793E-02   2.51653883775194E-02
  2.63717262516407E+01  -2.33726778659677E-05   1.82692340673409E-02  -2.01886999769835E-01   2.47198815948946E-04  -4.20243496962526E-02   2.51239764533909E-02
  2.63792267141696E+01  -2.32796579701127E-05   1.82335103314973E-02  -2.01753350923233E-01   2.46408759350629E-04  -4.19581421742374E-02   2.50826265930915E-02
  2.63867271766985E+01  -2.31870049961294E-05   1.81978516070048E-02  -2.01619679065578E-01   2.45621188333285E-04  -4.18920266013285E-02   2.50413387179671E-02
  2.63942276392275E+01  -2.30947175117642E-05   1.81622577887721E-02  -2.01485984456405E-01   2.44836095227557E-04  -4.18260028795485E-02   2.50001127494280E-02
  2.64017281017564E+01  -2.30027940902847E-05   1.81267287718405E-02  -2.01352267354794E-01   2.44053472387178E-04  -4.17600709109478E-02   2.49589486089491E-02
  2.64092285642853E+01  -2.29112333104587E-05   1.80912644513838E-02  -2.01218528019361E-01   2.43273312188898E-04  -4.16942305976048E-02   2.49178462180697E-02
  2.64167290268142E+01  -2.28200337565331E-05   1.80558647227087E-02  -2.01084766708266E-01   2.42495607032420E-04  -4.16284818416266E-02   2.48768054983936E-02
  2.64242294893431E+01  -2.27291940182133E-05   1.80205294812539E-02  -2.00950983679208E-01   2.41720349340337E-04  -4.15628245451487E-02   2.48358263715893E-02
  2.64317299518720E+01  -2.26387126906426E-05   1.79852586225910E-02  -2.00817179189428E-01   2.40947531558058E-04  -4.14972586103352E-02   2.47949087593898E-02
  2.64392304144009E+01  -2.25485883743814E-05   1.79500520424238E-02  -2.00683353495705E-01   2.40177146153746E-04  -4.14317839393798E-02   2.47540525835930E-02
  2.64467308769298E+01  -2.24588196753863E-05   1.79149096365884E-02  -2.00549506854365E-01   2.39409185618252E-04  -4.13664004345050E-02   2.47132577660612E-02
  2.64542313394587E+01  -2.23694052049902E-05   1.78798313010532E-02  -2.00415639521271E-01   2.38643642465046E-04  -4.13011079979632E-02   2.46725242287216E-02
  2.64617318019876E+01  -2.22803435798817E-05   1.78448169319188E-02  -2.00281751751832E-01   2.37880509230152E-04  -4.12359065320361E-02   2.46318518935664E-02
  2.64692322645165E+01  -2.21916334220843E-05   1.78098664254180E-02  -2.00147843800996E-01   2.37119778472085E-04  -4.11707959390359E-02   2.45912406826523E-02
  2.64767327270454E+01  -2.21032733589368E-05   1.77749796779157E-02  -2.00013915923257E-01   2.36361442771782E-04  -4.11057761213046E-02   2.45506905181010E-02
  2.64842331895743E+01  -2.20152620230728E-05   1.77401565859087E-02  -1.99879968372651E-01   2.35605494732536E-04  -4.10408469812150E-02   2.45102013220992E-02
  2.64917336521033E+01  -2.19275980524002E-05   1.77053970460261E-02  -1.99746001402755E-01   2.34851926979936E-04  -4.09760084211701E-02   2.44697730168984E-02
  2.64992341146322E+01  -2.18402800900821E-05   1.76707009550287E-02  -1.99612015266694E-01   2.34100732161795E-04  -4.09112603436042E-02   2.44294055248153E-02
  2.65067345771611E+01  -2.17533067845158E-05   1.76360682098090E-02  -1.99478010217132E-01   2.33351902948092E-04  -4.08466026509825E-02   2.43890987682315E-02
  2.65142350396900E+01  -2.16666767893136E-05   1.76014987073917E-02  -1.99343986506282E-01   2.32605432030899E-04  -4.07820352458017E-02   2.43488526695936E-02
  2.65217355022189E+01  -2.15803887632827E-05   1.75669923449330E-02  -1.99209944385899E-01   2.31861312124327E-04  -4.07175580305898E-02   2.43086671514135E-02
  2.65292359647478E+01  -2.14944413704056E-05   1.75325490197207E-02  -1.99075884107282E-01   2.31119535964451E-04  -4.06531709079067E-02   2.42685421362680E-02
  2.65367364272767E+01  -2.14088332798203E-05   1.74981686291745E-02  -1.98941805921278E-01   2.30380096309255E-04  -4.05888737803445E-02   2.42284775467994E-02
  2.65442368898056E+01  -2.13235631658006E-05   1.74638510708454E-02  -1.98807710078276E-01   2.29642985938560E-04  -4.05246665505272E-02   2.41884733057150E-02
  2.65517373523345E+01  -2.12386297077369E-05   1.74295962424161E-02  -1.98673596828214E-01   2.28908197653968E-04  -4.04605491211113E-02   2.41485293357875E-02
  2.65592378148634E+01  -2.11540315901165E-05   1.73954040417005E-02  -1.98539466420574E-01   2.28175724278790E-04  -4.03965213947862E-02   2.41086455598547E-02
  2.65667382773923E+01  -2.10697675025043E-05   1.73612743666441E-02  -1.98405319104385E-01   2.27445558657991E-04  -4.03325832742738E-02   2.40688219008198E-02
  2.65742387399212E+01  -2.09858361395234E-05   1.73272071153236E-02  -1.98271155128222E-01   2.26717693658121E-04  -4.02687346623294E-02   2.40290582816516E-02
  2.65817392024502E+01  -2.09022362008362E-05   1.72932021859469E-02  -1.98136974740208E-01   2.25992122167253E-04  -4.02049754617414E-02   2.39893546253840E-02
  2.65892396649791E+01  -2.08189663911247E-05   1.72592594768533E-02  -1.98002778188014E-01   2.25268837094921E-04  -4.01413055753319E-02   2.39497108551165E-02
  2.65967401275080E+01  -2.07360254200717E-05   1.72253788865129E-02  -1.97868565718855E-01   2.24547831372059E-04  -4.00777249059565E-02   2.39101268940141E-02
  2.66042405900369E+01  -2.06534120023420E-05   1.71915603135272E-02  -1.97734337579498E-01   2.23829097950934E-04  -4.00142333565050E-02   2.38706026653071E-02
  2.66117410525658E+01  -2.05711248575631E-05   1.71578036566283E-02  -1.97600094016255E-01   2.23112629805087E-04  -3.99508308299012E-02   2.38311380922917E-02
  2.66192415150947E+01  -2.04891627103063E-05   1.71241088146796E-02  -1.97465835274989E-01   2.22398419929270E-04  -3.98875172291033E-02   2.37917330983293E-02
  2.66267419776236E+01  -2.04075242900682E-05   1.70904756866751E-02  -1.97331561601110E-01   2.21686461339382E-04  -3.98242924571040E-02   2.37523876068471E-02
  2.66342424401525E+01  -2.03262083312519E-05   1.70569041717398E-02  -1.97197273239578E-01   2.20976747072412E-04  -3.97611564169310E-02   2.37131015413380E-02
  2.66417429026814E+01  -2.02452135731479E-05   1.70233941691292E-02  -1.97062970434902E-01   2.20269270186373E-04  -3.96981090116468E-02   2.36738748253604E-02
