# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  9.45158278642415e-01  -1.05802384912330e+00  -1.11755173896808e+00
  9.52658741171323e-01  -1.04969382716257e+00  -1.10686690759652e+00
  9.60159203700231e-01  -1.04149394823924e+00  -1.09640707233597e+00
  9.67659666229139e-01  -1.03342118608383e+00  -1.08616528743955e+00
  9.75160128758047e-01  -1.02547260753328e+00  -1.07613486815834e+00
  9.82660591286955e-01  -1.01764536897764e+00  -1.06630937962755e+00
  9.90161053815864e-01  -1.00993671296828e+00  -1.05668262627832e+00
  9.97661516344772e-01  -1.00234396497902e+00  -1.04724864174753e+00
  1.00516197887368e+00  -9.94864530312354e-01  -1.03800167925973e+00
  1.01266244140259e+00  -9.87495891143104e-01  -1.02893620245660e+00
  1.02016290393150e+00  -9.80235603692516e-01  -1.02004687665099e+00
  1.02766336646040e+00  -9.73081295526097e-01  -1.01132856048363e+00
  1.03516382898931e+00  -9.66030662968929e-01  -1.00277629796223e+00
  1.04266429151822e+00  -9.59081468632539e-01  -9.94385310863395e-01
  1.05016475404713e+00  -9.52231539047751e-01  -9.86150991479292e-01
  1.05766521657604e+00  -9.45478762398262e-01  -9.78068895691653e-01
  1.06516567910494e+00  -9.38821086349963e-01  -9.70134736356951e-01
  1.07266614163385e+00  -9.32256515971345e-01  -9.62344376987303e-01
  1.08016660416276e+00  -9.25783111740529e-01  -9.54693825712546e-01
  1.08766706669167e+00  -9.19398987634770e-01  -9.47179229509760e-01
  1.09516752922058e+00  -9.13102309298463e-01  -9.39796868687174e-01
  1.10266799174948e+00  -9.06891292285911e-01  -9.32543151610191e-01
  1.11016845427839e+00  -9.00764200375337e-01  -9.25414609657821e-01
  1.11766891680730e+00  -8.94719343950774e-01  -9.18407892398519e-01
  1.12516937933621e+00  -8.88755078448676e-01  -9.11519762974942e-01
  1.13266984186512e+00  -8.82869802866248e-01  -9.04747093687726e-01
  1.14017030439402e+00  -8.77061958328653e-01  -8.98086861768882e-01
