r	psi_1	psi_2	psi_3	psi_4	psi_5	psi_6	psi_7
0.004166666666666667	0.002093850280054979	0.0004464325691915701	0.0002226073785371222	0.00019858958470700736	3.709502012109387e-07	2.2896905165845585e-07	2.476152751379592e-07
0.04583333333333333	0.020353218101789004	0.0043360714948347135	0.002161950663972568	0.001928632331417112	4.223567957267327e-05	2.6069207273999705e-05	2.819171675133519e-05
0.08749999999999998	0.0344174000317368	0.007315790677808342	0.003646813213477503	0.0032529674721015565	0.00014527278395410302	8.965971304535704e-05	9.695538991390522e-05
0.1291666666666666	0.04511390290271775	0.009552055560901171	0.0047597127150356446	0.00424504182964167	0.0002996185759552957	0.00018489428104994185	0.0001999247233810393
0.1708333333333333	0.05311434123306286	0.011181266729495903	0.005568336990943368	0.004965128215388996	0.0004974213852463212	0.0003069001251218508	0.0003318146998554885
0.2124999999999999	0.058960582715169525	0.012314516656630114	0.0061278767752221165	0.005462393108719785	0.0007324318525765939	0.0004517865410676176	0.0004883983068860447
0.2541666666666666	0.06308818748585246	0.01304197638115264	0.006483183695315139	0.005776811728206288	0.0009996575955228467	0.0006164329028837723	0.0006662779514901687
0.2958333333333333	0.06584653426698414	0.013436734927974666	0.006670662884494942	0.005940848934955217	0.0012950807362337362	0.0007983151783236467	0.0008626983670195099
0.3375	0.06751563318637069	0.013558051850972813	0.006719878610507828	0.005980886049943838	0.0016154317994913536	0.000995367044683341	0.0010753968252192332
0.3791666666666666	0.06831991571964625	0.013454053580879808	0.006654886742043101	0.005918405409830154	0.00195801169391092	0.0012058705528850027	0.0013024852270766413
0.4208333333333333	0.0684394048621376	0.013163935641714452	0.0064953238654694365	0.005770958868502305	0.002320553409636333	0.0014283712197312728	0.0015423585611056233
0.4624999999999999	0.06801868625056597	0.01271974259653727	0.006257288034697248	0.005552951161806223	0.0027011158005646	0.0016616128673289615	0.001793624684208528
0.5041666666666667	0.06717407184879938	0.012147796123770576	0.005954045635169693	0.005276268682603932	0.00309800286564788	0.0019044881642418304	0.002055051061496401
0.5458333333333332	0.06599929923191183	0.011469834885169658	0.005596595655393216	0.004950781429075513	0.0035097030386711087	0.0021560014914174365	0.002325524820098047
0.5875	0.06457005611289254	0.010703921160779529	0.00519411845817399	0.004584742185755989	0.0039348440123744555	0.002415241378364263	0.002604023142194357
0.6291666666666667	0.06294756890783823	0.009865160361975218	0.0047543318190687855	0.00418510317148129	0.0043721595096246155	0.00268136029916958	0.0028895916090210367
0.6708333333333332	0.06118144905340005	0.008966271350315323	0.00428377298798442	0.0037577668333338738	0.004820465159921562	0.002953560076086637	0.0031813286018216114
0.7125	0.05931195246368497	0.00801803833751363	0.003788022012501023	0.003307784344670641	0.005278641251540871	0.0032310815149547566	0.0034783742722165234
0.7541666666666667	0.057371775792688325	0.007029669097112112	0.003271878581825293	0.0028395127189468528	0.0057456206238605725	0.003513197201129016	0.0037799029232758233
0.7958333333333332	0.05538748738347251	0.006009079221591328	0.0027395021824637247	0.002356739257643617	0.006220380358939875	0.0037992066278217094	0.004085117905451351
0.8375	0.053380670086213694	0.004963118090307116	0.0021945233442343505	0.0018627802607885445	0.006701936243587061	0.004088433021384074	0.004393248339808002
0.8791666666666667	0.05136883665660624	0.003897748936675233	0.0016401321319760218	0.0013605594841012067	0.007189339218448324	0.004380221379537362	0.004703547144858612
0.9208333333333332	0.04936616542170685	0.002818192783902745	0.0010791487393201123	0.0008526706703235237	0.007681673222253094	0.0046739373569705195	0.005015289971445716
0.9625	0.047384093646200096	0.0017290439370990758	0.0005140800074186629	0.00034142756181492287	0.008178053988200581	0.004968966724763812	0.005327774749753053
1.0041666666666669	0.045431797983394896	0.0006343630723857981	-5.283512713777694e-05	-0.00017109592794692488	0.00867762846448137	0.005264715201251344	0.005640321629578784
1.0458333333333334	0.04351658509021369	-0.0004622473358192583	-0.0006195888973556123	-0.00068303328244686	0.009179574619284925	0.005560608506621112	0.005952273154232113
1.0875	0.04164421055210578	-0.0015575815308147552	-0.0011843748350363215	-0.0011926990421569307	0.009683101458099596	0.005856092535311131	0.006262994553652116
1.1291666666666669	0.039819140405852015	-0.002648780017737687	-0.001745563315487502	-0.001698567265714512	0.010187449132238074	0.006150633571915037	0.006571874076640148
1.1708333333333334	0.03804476653126448	-0.0037332878507837335	-0.002301681383132003	-0.002199253781574482	0.010691889055947267	0.006443718500098527	0.006878323307867317
1.2125	0.03632358482249562	-0.004808819872314228	-0.0028513959695500614	-0.002693501439044304	0.011195723978046962	0.00673485497172018	0.007181777434482006
1.2541666666666669	0.03465734320162421	-0.005873331499242576	-0.0033934998082303606	-0.003180167739565107	0.011698287975046883	0.007023571516340983	0.0074816954412092115
1.2958333333333334	0.033047165088561016	-0.006924993954572978	-0.003926899501097932	-0.0036582143636297738	0.01219894634788323	0.007309417580694374	0.007777560222993921
1.3375	0.0314936528041102	-0.007962173078506971	-0.0044506053097749625	-0.004126698213892691	0.01269709541518474	0.007591963494332409	0.008068878611426125
1.3791666666666669	0.029996974488713336	-0.008983411038446486	-0.004963722336639999	-0.004584763677178361	0.013192162203408292	0.007870800362235501	0.008355181316123228
1.4208333333333334	0.02855693741466425	-0.009987410401743151	-0.005465442832683815	-0.005031635872234552	0.013683604039110916	0.008145539888194867	0.008636022785504233
1.4625	0.0271730500129168	-0.010973020147988262	-0.00595503942531581	-0.005466614700126917	0.014170908051706774	0.008415814134653267	0.00891098099340561
1.5041666666666669	0.025844574494750375	-0.011939223285913228	-0.006431859103103121	-0.005889069553215265	0.014653590596791765	0.008681275225732369	0.009179657159102537
