# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
3.75123126445403e-01 2.08182934932037e-01 1.01905649366826e-01 6.31284825029735e-02 3.07721359704939e-02 1.82078700018226e-02
3.82623588974311e-01 2.07531166851637e-01 1.01544473746672e-01 6.28968187710756e-02 3.17655973735970e-02 1.87939477961227e-02
3.90124051503219e-01 2.06790744592732e-01 1.01138681426081e-01 6.26372879479362e-02 3.27687988784930e-02 1.93856398773288e-02
3.97624514032127e-01 2.05964635010771e-01 1.00689747056232e-01 6.23508078802455e-02 3.37815621221817e-02 1.99828355071639e-02
4.05124976561035e-01 2.05055700384136e-01 1.00199094069375e-01 6.20382646825860e-02 3.48037133580597e-02 2.05854266437839e-02
4.12625439089943e-01 2.04066702528369e-01 9.96680966946078e-02 6.17005139864803e-02 3.58350832248264e-02 2.11933078057369e-02
4.20125901618851e-01 2.03000306747424e-01 9.90980818938856e-02 6.13383821400110e-02 3.68755065268285e-02 2.18063759426912e-02
4.27626364147759e-01 2.01859085627865e-01 9.84903312211059e-02 6.09526673597895e-02 3.79248220253493e-02 2.24245303126416e-02
4.35126826676667e-01 2.00645522681747e-01 9.78460826070934e-02 6.05441408370076e-02 3.89828722403619e-02 2.30476723653084e-02
4.42627289205575e-01 1.99362015843779e-01 9.71665320731978e-02 6.01135477992585e-02 4.00495032622853e-02 2.36757056314577e-02
4.50127751734483e-01 1.98010880828197e-01 9.64528353761599e-02 5.96616085297654e-02 4.11245645733008e-02 2.43085356178794e-02
4.57628214263391e-01 1.96594354350624e-01 9.57061095868170e-02 5.91890193456124e-02 4.22079088777994e-02 2.49460697077720e-02
4.65128676792299e-01 1.95114597220032e-01 9.49274346051455e-02 5.86964535365209e-02 4.32993919415519e-02 2.55882170662883e-02
4.72629139321208e-01 1.93573697305763e-01 9.41178546140609e-02 5.81845622656717e-02 4.43988724392046e-02 2.62348885510118e-02
4.80129601850116e-01 1.91973672384417e-01 9.32783794743207e-02 5.76539754340236e-02 4.55062118097226e-02 2.68859966271358e-02
4.87630064379024e-01 1.90316472871239e-01 9.24099860627998e-02 5.71053025095340e-02 4.66212741194161e-02 2.75414552871326e-02
4.95130526907932e-01 1.88603984440523e-01 9.15136195563350e-02 5.65391333226415e-02 4.77439259322004e-02 2.82011799747040e-02
5.02630989436840e-01 1.86838030539344e-01 9.05901946632617e-02 5.59560388293258e-02 4.88740361867526e-02 2.88650875128144e-02
5.10131451965748e-01 1.85020374798846e-01 8.96405968046938e-02 5.53565718430141e-02 5.00114760802446e-02 2.95330960356167e-02
5.17631914494656e-01 1.83152723347108e-01 8.86656832475288e-02 5.47412677365620e-02 5.11561189583433e-02 3.02051249240878e-02
5.25132377023564e-01 1.81236727027520e-01 8.76662841910893e-02 5.41106451154936e-02 5.23078402111811e-02 3.08810947451979e-02
5.32632839552472e-01 1.79273983526423e-01 8.66432038092460e-02 5.34652064636417e-02 5.34665171750147e-02 3.15609271944465e-02
5.40133302081380e-01 1.77266039413644e-01 8.55972212498021e-02 5.28054387622930e-02 5.46320290392991e-02 3.22445450416033e-02
5.47633764610288e-01 1.75214392099450e-01 8.45290915928514e-02 5.21318140838974e-02 5.58042567589168e-02 3.29318720795002e-02
5.55134227139196e-01 1.73120491711268e-01 8.34395467697645e-02 5.14447901613676e-02 5.69830829713145e-02 3.36228330757267e-02
5.62634689668104e-01 1.70985742893432e-01 8.23292964443932e-02 5.07448109339534e-02 5.81683919183063e-02 3.43173537270873e-02
5.70135152197012e-01 1.68811506533088e-01 8.11990288580247e-02 5.00323070706405e-02 5.93600693723172e-02 3.50153606166859e-02
5.77635614725920e-01 1.66599101415250e-01 8.00494116395607e-02 4.93076964719879e-02 6.05580025668480e-02 3.57167811735068e-02
5.85136077254828e-01 1.64349805809921e-01 7.88810925823401e-02 4.85713847512826e-02 6.17620801309525e-02 3.64215436343705e-02
5.92636539783736e-01 1.62064858994042e-01 7.76947003889695e-02 4.78237656958572e-02 6.29721920275274e-02 3.71295770081427e-02
6.00137002312645e-01 1.59745462710964e-01 7.64908453854740e-02 4.70652217093849e-02 6.41882294952240e-02 3.78408110420874e-02
6.07637464841553e-01 1.57392782570001e-01 7.52701202060297e-02 4.62961242359324e-02 6.54100849937996e-02 3.85551761902517e-02
6.15137927370461e-01 1.55007949388538e-01 7.40331004494906e-02 4.55168341665239e-02 6.66376521527337e-02 3.92726035837824e-02
6.22638389899369e-01 1.52592060479077e-01 7.27803453088747e-02 4.47277022289369e-02 6.78708257229431e-02 3.99930250030733e-02
6.30138852428277e-01 1.50146180883490e-01 7.15123981749286e-02 4.39290693614246e-02 6.91095015314365e-02 4.07163728516501e-02
6.37639314957185e-01 1.47671344556682e-01 7.02297872148460e-02 4.31212670710317e-02 7.03535764387557e-02 4.14425801317019e-02
6.45139777486093e-01 1.45168555501747e-01 6.89330259271718e-02 4.23046177771428e-02 7.16029482990614e-02 4.21715804211743e-02
6.52640240015001e-01 1.42638788858665e-01 6.76226136738830e-02 4.14794351408789e-02 7.28575159227212e-02 4.29033078523413e-02
6.60140702543909e-01 1.40082991948441e-01 6.62990361905986e-02 4.06460243809306e-02 7.41171790412711e-02 4.36376970917775e-02
6.67641165072817e-01 1.37502085274583e-01 6.49627660758305e-02 3.98046825763962e-02 7.53818382746228e-02 4.43746833216567e-02
6.75141627601725e-01 1.34896963483671e-01 6.36142632601523e-02 3.89556989571664e-02 7.66513951003971e-02 4.51142022223045e-02
6.82642090130633e-01 1.32268496286748e-01 6.22539754561264e-02 3.80993551823776e-02 7.79257518252690e-02 4.58561899559382e-02
6.90142552659541e-01 1.29617529343165e-01 6.08823385897963e-02 3.72359256074344e-02 7.92048115582146e-02 4.66005831515273e-02
6.97643015188449e-01 1.26944885108460e-01 5.94997772145170e-02 3.63656775400805e-02 8.04884781855568e-02 4.73473188907155e-02
7.05143477717357e-01 1.24251363647771e-01 5.81067049078665e-02 3.54888714859785e-02 8.17766563477095e-02 4.80963346947424e-02
7.12643940246265e-01 1.21537743416246e-01 5.67035246523485e-02 3.46057613842396e-02 8.30692514175267e-02 4.88475685123110e-02
7.20144402775173e-01 1.18804782007820e-01 5.52906292005691e-02 3.37165948333274e-02 8.43661694801654e-02 4.96009587083466e-02
7.27644865304081e-01 1.16053216873702e-01 5.38684014255426e-02 3.28216133077393e-02 8.56673173143781e-02 5.03564440535963e-02
7.35145327832990e-01 1.13283766011841e-01 5.24372146567507e-02 3.19210523658574e-02 8.69726023751520e-02 5.11139637150211e-02
7.42645790361898e-01 1.10497128628594e-01 5.09974330025591e-02 3.10151418493390e-02 8.82819327776172e-02 5.18734572469331e-02
7.50146252890806e-01 1.07693985773768e-01 4.95494116595648e-02 3.01041060744056e-02 8.95952172821514e-02 5.26348645828369e-02
7.57646715419714e-01 1.04875000950159e-01 4.80934972094279e-02 2.91881640153722e-02 9.09123652806096e-02 5.33981260279297e-02
7.65147177948622e-01 1.02040820698659e-01 4.66300279037161e-02 2.82675294807456e-02 9.22332867836115e-02 5.41631822522233e-02
7.72647640477530e-01 9.91920751599635e-02 4.51593339372679e-02 2.73424112822056e-02 9.35578924088251e-02 5.49299742842494e-02
7.80148103006438e-01 9.63293786138718e-02 4.36817377105626e-02 2.64130133967703e-02 9.48860933701835e-02 5.56984435053112e-02
7.87648565535346e-01 9.34533299971139e-02 4.21975540815584e-02 2.54795351224347e-02 9.62178014679795e-02 5.64685316442499e-02
7.95149028064254e-01 9.05645134006206e-02 4.07070906074482e-02 2.45421712275590e-02 9.75529290797828e-02 5.72401807726903e-02
