# estado  l  E(Ha)  E(eV)
2s 0 -1.38601686652237e-01 -3.77154402983942e+00
3s 0 -5.93731561141679e-02 -1.61562588366597e+00
4s 0 -3.28260083878425e-02 -8.93241193155625e-01
2p 1 -1.26113278225522e-01 -3.43171712454243e+00
3p 1 -5.59390642475420e-02 -1.52217948347900e+00
