N,unknowns,time_ms,mem_MB,errL2,errMax
32,1024,21.1573,3.410156,4.382397e-05,0.0001061707
64,4096,580.5928,4.429688,1.116017e-05,2.750351e-05
128,16384,886.3242,8.074219,2.813983e-06,6.995222e-06
256,65536,1870.4723,22.769531,7.06377e-07,1.762858e-06
512,262144,8597.1126,100.703125,1.769458e-07,4.424606e-07
1024,1048576,,,4.448690783326774e-08,1.200000001588819e-07
