# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  2.83775111414279E+00  -3.52391721393817E-01  -3.52394964906769E-01
  2.89232132787631E+00  -3.45743050871271E-01  -3.45745504529178E-01
  2.94689154160982E+00  -3.39340619048953E-01  -3.39342475345135E-01
  3.00146175534334E+00  -3.33170995172520E-01  -3.33172399646244E-01
  3.05603196907685E+00  -3.27221707795836E-01  -3.27222770497547E-01
  3.11060218281037E+00  -3.21481160633829E-01  -3.21481964787398E-01
  3.16517239654388E+00  -3.15938557119960E-01  -3.15939165668184E-01
  3.21974261027740E+00  -3.10583832635567E-01  -3.10584293186886E-01
  3.27431282401091E+00  -3.05407593516076E-01  -3.05407942083508E-01
  3.32888303774443E+00  -3.00401062056411E-01  -3.00401325883951E-01
  3.38345325147794E+00  -2.95556026838315E-01  -2.95556226537764E-01
  3.43802346521146E+00  -2.90864797788253E-01  -2.90864948954894E-01
  3.49259367894498E+00  -2.86320165448526E-01  -2.86320279882880E-01
  3.54716389267849E+00  -2.81915364007862E-01  -2.81915450639657E-01
  3.60173410641201E+00  -2.77644037692773E-01  -2.77644103279769E-01
  3.65630432014552E+00  -2.73500210168556E-01  -2.73500259825145E-01
  3.71087453387904E+00  -2.69478256640136E-01  -2.69478294237201E-01
  3.76544474761255E+00  -2.65572878378853E-01  -2.65572906846278E-01
  3.82001496134607E+00  -2.61779079432618E-01  -2.61779100988157E-01
  3.87458517507958E+00  -2.58092145304164E-01  -2.58092161626617E-01
  3.92915538881310E+00  -2.54507623406077E-01  -2.54507635766323E-01
  3.98372560254661E+00  -2.51021305122207E-01  -2.51021314482370E-01
  4.03829581628013E+00  -2.47629209323538E-01  -2.47629216412029E-01
  4.09286603001364E+00  -2.44327567202747E-01  -2.44327572571057E-01
  4.14743624374716E+00  -2.41112808306008E-01  -2.41112812371699E-01
  4.20200645748067E+00  -2.37981547653202E-01  -2.37981550732443E-01
  4.25657667121419E+00  -2.34930573848855E-01  -2.34930576181051E-01
  4.31114688494770E+00  -2.31956838096026E-01  -2.31956839862461E-01
  4.36571709868122E+00  -2.29057444034126E-01  -2.29057445372082E-01
  4.42028731241473E+00  -2.26229638329486E-01  -2.26229639342923E-01
  4.47485752614825E+00  -2.23470801954393E-01  -2.23470802722041E-01
  4.52942773988176E+00  -2.20778442096551E-01  -2.20778442678035E-01
  4.58399795361528E+00  -2.18150184646423E-01  -2.18150185086899E-01
  4.63856816734879E+00  -2.15583767214864E-01  -2.15583767548533E-01
  4.69313838108231E+00  -2.13077032637888E-01  -2.13077032890655E-01
  4.74770859481583E+00  -2.10627922929375E-01  -2.10627923120859E-01
  4.80227880854934E+00  -2.08234473646081E-01  -2.08234473791142E-01
  4.85684902228286E+00  -2.05894808632526E-01  -2.05894808742422E-01
  4.91141923601637E+00  -2.03607135116223E-01  -2.03607135199479E-01
  4.96598944974989E+00  -2.01369739126281E-01  -2.01369739189357E-01
  5.02055966348340E+00  -1.99180981210802E-01  -1.99180981258590E-01
  5.07512987721692E+00  -1.97039292430557E-01  -1.97039292466762E-01
  5.12970009095043E+00  -1.94943170608385E-01  -1.94943170635816E-01
  5.18427030468395E+00  -1.92891176815474E-01  -1.92891176836257E-01
  5.23884051841746E+00  -1.90881932077230E-01  -1.90881932092976E-01
  5.29341073215098E+00  -1.88914114282919E-01  -1.88914114294850E-01
  5.34798094588449E+00  -1.86986455284502E-01  -1.86986455293542E-01
  5.40255115961801E+00  -1.85097738171295E-01  -1.85097738178145E-01
  5.45712137335152E+00  -1.83246794708149E-01  -1.83246794713339E-01
  5.51169158708504E+00  -1.81432502925816E-01  -1.81432502929748E-01
  5.56626180081855E+00  -1.79653784853049E-01  -1.79653784856029E-01
  5.62083201455207E+00  -1.77909604380819E-01  -1.77909604383077E-01
  5.67540222828558E+00  -1.76198965249742E-01  -1.76198965251453E-01
  5.72997244201910E+00  -1.74520909152510E-01  -1.74520909153806E-01
  5.78454265575261E+00  -1.72874513943729E-01  -1.72874513944711E-01
  5.83911286948613E+00  -1.71258891950141E-01  -1.71258891950885E-01
  5.89368308321964E+00  -1.69673188374715E-01  -1.69673188375279E-01
  5.94825329695316E+00  -1.68116579788595E-01  -1.68116579789023E-01
  6.00282351068668E+00  -1.66588272705290E-01  -1.66588272705614E-01
  6.05739372442019E+00  -1.65087502231947E-01  -1.65087502232192E-01
  6.11196393815371E+00  -1.63613530792866E-01  -1.63613530793052E-01
  6.16653415188722E+00  -1.62165646920800E-01  -1.62165646920941E-01
  6.22110436562074E+00  -1.60743164111863E-01  -1.60743164111970E-01
  6.27567457935425E+00  -1.59345419740183E-01  -1.59345419740264E-01
  6.33024479308777E+00  -1.57971774028698E-01  -1.57971774028759E-01
  6.38481500682128E+00  -1.56621609072720E-01  -1.56621609072767E-01
  6.43938522055480E+00  -1.55294327913161E-01  -1.55294327913196E-01
  6.49395543428831E+00  -1.53989353656473E-01  -1.53989353656500E-01
  6.54852564802183E+00  -1.52706128638601E-01  -1.52706128638621E-01
  6.60309586175534E+00  -1.51444113630385E-01  -1.51444113630400E-01
  6.65766607548886E+00  -1.50202787082044E-01  -1.50202787082056E-01
  6.71223628922237E+00  -1.48981644404514E-01  -1.48981644404522E-01
  6.76680650295589E+00  -1.47780197285555E-01  -1.47780197285562E-01
  6.82137671668940E+00  -1.46597973038693E-01  -1.46597973038698E-01
  6.87594693042292E+00  -1.45434513983152E-01  -1.45434513983155E-01
  6.93051714415643E+00  -1.44289376853092E-01  -1.44289376853095E-01
  6.98508735788995E+00  -1.43162132234532E-01  -1.43162132234534E-01
  7.03965757162347E+00  -1.42052364028466E-01  -1.42052364028467E-01
  7.09422778535698E+00  -1.40959668938750E-01  -1.40959668938751E-01
  7.14879799909050E+00  -1.39883655983457E-01  -1.39883655983458E-01
  7.20336821282401E+00  -1.38823946028432E-01  -1.38823946028432E-01
  7.25793842655753E+00  -1.37780171341892E-01  -1.37780171341893E-01
  7.31250864029104E+00  -1.36751975168976E-01  -1.36751975168976E-01
  7.36707885402456E+00  -1.35739011325189E-01  -1.35739011325189E-01
  7.42164906775807E+00  -1.34740943807800E-01  -1.34740943807800E-01
  7.47621928149159E+00  -1.33757446424243E-01  -1.33757446424243E-01
  7.53078949522510E+00  -1.32788202436683E-01  -1.32788202436684E-01
  7.58535970895862E+00  -1.31832904221926E-01  -1.31832904221926E-01
  7.63992992269213E+00  -1.30891252945894E-01  -1.30891252945894E-01
  7.69450013642565E+00  -1.29962958251962E-01  -1.29962958251962E-01
  7.74907035015916E+00  -1.29047737962459E-01  -1.29047737962459E-01
  7.80364056389268E+00  -1.28145317792696E-01  -1.28145317792696E-01
  7.85821077762619E+00  -1.27255431076905E-01  -1.27255431076905E-01
  7.91278099135971E+00  -1.26377818505522E-01  -1.26377818505522E-01
  7.96735120509322E+00  -1.25512227873266E-01  -1.25512227873266E-01
  8.02192141882674E+00  -1.24658413837499E-01  -1.24658413837499E-01
  8.07649163256025E+00  -1.23816137686383E-01  -1.23816137686383E-01
  8.13106184629377E+00  -1.22985167116373E-01  -1.22985167116373E-01
  8.18563206002728E+00  -1.22165276018608E-01  -1.22165276018608E-01
  8.24020227376080E+00  -1.21356244273795E-01  -1.21356244273795E-01
  8.29477248749432E+00  -1.20557857555184E-01  -1.20557857555184E-01
  8.34934270122783E+00  -1.19769907139270E-01  -1.19769907139270E-01
  8.40391291496135E+00  -1.18992189723875E-01  -1.18992189723875E-01
  8.45848312869486E+00  -1.18224507253264E-01  -1.18224507253264E-01
  8.51305334242838E+00  -1.17466666749999E-01  -1.17466666749999E-01
  8.56762355616189E+00  -1.16718480153203E-01  -1.16718480153203E-01
  8.62219376989541E+00  -1.15979764162982E-01  -1.15979764162982E-01
  8.67676398362892E+00  -1.15250340090703E-01  -1.15250340090703E-01
  8.73133419736244E+00  -1.14530033714902E-01  -1.14530033714902E-01
