# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  1.58263619827194E+00  -2.26333161804412E-01  -1.18709921802306E-01  -7.49195045962976E-02   2.50255931526314E-01   1.41328219491279E-01
  1.63720641200546E+00  -2.44089308232436E-01  -1.27100293810162E-01  -8.00465844029679E-02   2.59539876842888E-01   1.46032375744923E-01
  1.69177662573897E+00  -2.61242089878948E-01  -1.35094994731481E-01  -8.49089500620748E-02   2.68643611815410E-01   1.50574143482004E-01
  1.74634683947249E+00  -2.77778287927693E-01  -1.42684226446169E-01  -8.95000059049766E-02   2.77556425074414E-01   1.54946011525516E-01
  1.80091705320600E+00  -2.93687932054744E-01  -1.49860136655162E-01  -9.38144444258926E-02   2.86268659786779E-01   1.59141192050175E-01
  1.85548726693952E+00  -3.08963980415429E-01  -1.56616656133562E-01  -9.78481444425044E-02   2.94771662745700E-01   1.63153590798095E-01
  1.91005748067303E+00  -3.23602029699577E-01  -1.62949349667299E-01  -1.01598077479194E-01   3.03057733814883E-01   1.66977777195512E-01
  1.96462769440655E+00  -3.37600051639953E-01  -1.68855279057896E-01  -1.05062221403350E-01   3.11120076112377E-01   1.70608954623020E-01
  2.01919790814006E+00  -3.50958152999008E-01  -1.74332876877182E-01  -1.08239480526381E-01   3.18952747234655E-01   1.74042931039776E-01
  2.07376812187358E+00  -3.63678356547688E-01  -1.79381829878105E-01  -1.11129611517393E-01   3.26550611749410E-01   1.77276090117895E-01
  2.12833833560709E+00  -3.75764400927909E-01  -1.84002971139348E-01  -1.13733154581209E-01   3.33909295125085E-01   1.80305363006108E-01
  2.18290854934061E+00  -3.87221557586859E-01  -1.88198180154433E-01  -1.16051369432640E-01   3.41025139215338E-01   1.83128200811028E-01
  2.23747876307412E+00  -3.98056463207621E-01  -1.91970290180866E-01  -1.18086175661800E-01   3.47895159376017E-01   1.85742547859239E-01
  2.29204897680764E+00  -4.08276966252112E-01  -1.95323002248851E-01  -1.19840097135524E-01   3.54517003259647E-01   1.88146815783138E-01
  2.34661919054116E+00  -4.17891986389915E-01  -1.98260805297646E-01  -1.21316210120725E-01   3.60888911306470E-01   1.90339858457166E-01
  2.40118940427467E+00  -4.26911385718302E-01  -2.00788901964361E-01  -1.22518094849278E-01   3.67009678930820E-01   1.92320947798246E-01
  2.45575961800819E+00  -4.35345850790478E-01  -2.02913139597843E-01  -1.23449790272284E-01   3.72878620385956E-01   1.94089750434162E-01
  2.51032983174170E+00  -4.43206784564953E-01  -2.04639946111121E-01  -1.24115751775735E-01   3.78495534278579E-01   1.95646305235845E-01
  2.56490004547522E+00  -4.50506207472323E-01  -2.05976270321195E-01  -1.24520811650377E-01   3.83860670695446E-01   1.96991001703597E-01
  2.61947025920873E+00  -4.57256666868801E-01  -2.06929526455884E-01  -1.24670142126792E-01   3.88974699898124E-01   1.98124559192835E-01
  2.67404047294225E+00  -4.63471154210495E-01  -2.07507542534661E-01  -1.24569220802698E-01   3.93838682537506E-01   1.99048006961703E-01
  2.72861068667576E+00  -4.69163029339951E-01  -2.07718512354694E-01  -1.24223798303728E-01   3.98454041336811E-01   1.99762665020542E-01
  2.78318090040928E+00  -4.74345951328042E-01  -2.07570950834962E-01  -1.23639868031633E-01   4.02822534190121E-01   2.00270125761633E-01
  2.83775111414279E+00  -4.79033815360600E-01  -2.07073652490851E-01  -1.22823637865320E-01   4.06946228622735E-01   2.00572236346623E-01
  2.89232132787631E+00  -4.83240695201062E-01  -2.06235652829223E-01  -1.21781503690388E-01   4.10827477559562E-01   2.00671081828440E-01
  2.94689154160982E+00  -4.86980790798303E-01  -2.05066192469927E-01  -1.20520024642218E-01   4.14468896348283E-01   2.00568968984282E-01
  3.00146175534334E+00  -4.90268380643242E-01  -2.03574683814209E-01  -1.19045899956093E-01   4.17873340984847E-01   2.00268410836288E-01
  3.05603196907685E+00  -4.93117778509140E-01  -2.01770680093678E-01  -1.17365947325567E-01   4.21043887490086E-01   1.99772111836676E-01
  3.11060218281037E+00  -4.95543294239086E-01  -1.99663846645549E-01  -1.15487082677307E-01   4.23983812387548E-01   1.99082953694514E-01
  3.16517239654388E+00  -4.97559198270216E-01  -1.97263934270884E-01  -1.13416301277085E-01   4.26696574234207E-01   1.98203981821719E-01
  3.21974261027740E+00  -4.99179689608112E-01  -1.94580754542636E-01  -1.11160660087438E-01   4.29185796157266E-01   1.97138392376403E-01
  3.27431282401091E+00  -5.00418866986644E-01  -1.91624156939571E-01  -1.08727261302927E-01   4.31455249351924E-01   1.95889519882247E-01
  3.32888303774443E+00  -5.01290702968555E-01  -1.88404007690612E-01  -1.06123236993853E-01   4.33508837496653E-01   1.94460825403183E-01
  3.38345325147794E+00  -5.01809020760489E-01  -1.84930170221969E-01  -1.03355734793852E-01   4.35350582044172E-01   1.92855885253278E-01
  3.43802346521146E+00  -5.01987473533038E-01  -1.81212487106614E-01  -1.00431904570928E-01   4.36984608347950E-01   1.91078380222318E-01
  3.49259367894498E+00  -5.01839526051918E-01  -1.77260763422289E-01  -9.73588860253989E-02   4.38415132585680E-01   1.89132085298228E-01
  3.54716389267849E+00  -5.01378438440727E-01  -1.73084751430339E-01  -9.41437971617139E-02   4.39646449442753E-01   1.87020859868048E-01
  3.60173410641201E+00  -5.00617251908855E-01  -1.68694136493340E-01  -9.07937235844530E-02   4.40682920520246E-01   1.84748638379810E-01
  3.65630432014552E+00  -4.99568776290328E-01  -1.64098524154704E-01  -8.73157085718043E-02   4.41528963433458E-01   1.82319421448216E-01
  3.71087453387904E+00  -4.98245579250554E-01  -1.59307428308306E-01  -8.37167438826605E-02   4.42189041568441E-01   1.79737267387626E-01
  3.76544474761255E+00  -4.96659977028317E-01  -1.54330260390658E-01  -8.00037612560754E-02   4.42667654465323E-01   1.77006284156382E-01
