# t Exacta Euler Taylor2 Trapecio
39.5000000000 0.0852004748 0.0852366328 0.0852004627 0.0852004808
40.0000000000 0.0861148171 0.0861513961 0.0861148049 0.0861148232
40.5000000000 0.0870282455 0.0870652447 0.0870282331 0.0870282516
41.0000000000 0.0879407609 0.0879781795 0.0879407484 0.0879407671
41.5000000000 0.0888523643 0.0888902013 0.0888523516 0.0888523706
42.0000000000 0.0897630565 0.0898013111 0.0897630437 0.0897630628
42.5000000000 0.0906728384 0.0907115098 0.0906728256 0.0906728449
43.0000000000 0.0915817111 0.0916207983 0.0915816981 0.0915817176
43.5000000000 0.0924896753 0.0925291775 0.0924896622 0.0924896819
44.0000000000 0.0933967320 0.0934366483 0.0933967187 0.0933967387
44.5000000000 0.0943028822 0.0943432117 0.0943028687 0.0943028889
45.0000000000 0.0952081266 0.0952488685 0.0952081130 0.0952081334
45.5000000000 0.0961124662 0.0961536196 0.0961124525 0.0961124731
46.0000000000 0.0970159020 0.0970574660 0.0970158881 0.0970159089
46.5000000000 0.0979184347 0.0979604085 0.0979184207 0.0979184417
47.0000000000 0.0988200654 0.0988624481 0.0988200513 0.0988200724
47.5000000000 0.0997207949 0.0997635857 0.0997207806 0.0997208020
48.0000000000 0.1006206241 0.1006638221 0.1006206097 0.1006206313
48.5000000000 0.1015195539 0.1015631582 0.1015195394 0.1015195612
49.0000000000 0.1024175853 0.1024615951 0.1024175706 0.1024175926
49.5000000000 0.1033147191 0.1033591335 0.1033147043 0.1033147265
50.0000000000 0.1042109561 0.1042557744 0.1042109412 0.1042109636
